cpu	memory	committed	bwin	bwout	nchan
37.1	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.3	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
0.0	81.0	103.9	0.0	0.0	0
